,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
700,32,Male,Berlin,DevOps,10.0,1.0,Middle,python,"Python, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",62000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
703,37,Male,Berlin,Mobile Developer,17.0,1.0,Senior,Swift,Javascript / Typescript,77000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
705,29,Male,Berlin,Mobile Developer,5.0,4.0,Senior,iOS,Swift,65000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
707,38,Male,Stuttgart ,Backend Developer,4.0,2.0,Middle,PHP,"Javascript / Typescript, SQL, Docker",43000.0,30.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
709,29,Male,Düsseldorf,Frontend Developer,6.0,6.0,Middle,TypeScript,"Javascript / Typescript, Azure",55000.0,30.0,full-time,Unlimited contract,German,11-50,Product,No
710,35,Male,Berlin,QA Engineer,12.0,3.0,Senior,JS,"Javascript / Typescript, SQL",63000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,Yes
711,41,Male,Munich,Software Engineer,19.0,5.0,Senior,Java,"PHP, Java / Scala, SQL, AWS, Docker",75000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
712,29,Male,Barcelona,Data Scientist,0.0,0.0,Junior,Python,"R, SQL",22000.0,22.0,full-time,Unlimited contract,English,51-100,Product,No
713,26,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5.0,5.0,Middle,ABAP,"Python, SQL",65000.0,30.0,full-time,Unlimited contract,German,up to 10,Startup,No
715,30,Male,Berlin,Data Engineer,6.0,1.0,Middle,Python,AWS,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
716,26,Male,London,DevOps,3.0,0.0,Middle,"networking, linux, automation, cloud","Python, AWS",37000.0,25.0,full-time,Unlimited contract,English,51-100,Product,No
717,35,Female,Munich,Backend Developer,4.0,4.0,Middle,PHP,"PHP, Javascript / Typescript, Java / Scala",51000.0,30.0,full-time,Unlimited contract,German,101-1000,Insurance,No
718,47,Male,Bölingen,Software Engineer,25.0,15.0,Senior,java,"Java / Scala, SQL",70000.0,30.0,full-time,Unlimited contract,German,11-50,Consulting / Agency,No
722,32,Male,Berlin,Frontend Developer,13.0,2.0,Senior,JavaScript,"PHP, Javascript / Typescript",70000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No
723,33,Male,Dusseldorf,Data Scientist,2.0,2.0,Lead,Spark,"Python, Docker",70000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
724,32,Male,Munich,Frontend Developer,8.0,2.0,Senior,"Js, reactJS ","Javascript / Typescript, AWS",65000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
725,26,Male,Berlin,Data Engineer,4.0,3.0,Middle,Scala,"Python, Java / Scala, SQL, AWS, Google Cloud, Azure",51000.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
727,22,Diverse,Cologne,QA Engineer,1.0,1.0,Head,Cobol,Perl,159000.0,45.0,full-time,Unlimited contract,German,1000+,Product,No
728,43,Male,Berlin,Engineering Manager,20.0,20.0,Lead,Java,"C/C++, .NET, Java / Scala, AWS, Kubernetes, Docker",105000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
729,33,Male,Munich,Software Engineer,11.0,6.0,Senior,JavaScript ,".NET, SQL",80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
730,35,Female,Frankfurt,Software Engineer,1.0,1.0,Junior,ABAP,"SQL, SAP / ABAP",50000.0,30.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,No
731,28,Male,Munich,Frontend Developer,5.0,5.0,Middle,JavaScript,"Python, Javascript / Typescript, SQL, Rust, AWS, Kubernetes, Docker",72000.0,28.0,full-time,Unlimited contract,German,11-50,Product,No
732,36,Male,Munich,DevOps,16.0,0.0,Senior,SRE,"Python, C/C++, Go",105000.0,30.0,full-time,Unlimited contract,English,1000+,Product,Yes
733,27,Male,Munich,Data Engineer,2.0,0.0,Junior,Python ,"Python, SQL, AWS, Azure, Docker",49000.0,30.0,full-time,Unlimited contract,German,11-50,Consulting / Agency,No
734,36,Male,Berlin,Backend Developer,4.0,1.0,Middle,Java,"Python, SQL, Kubernetes, Docker",55000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
735,38,Male,Berlin,Backend Developer,5.0,1.0,Middle,Java,"Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",66000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
736,28,Male,Berlin,Mobile Developer,6.0,1.0,Middle,Android,"Kotlin, Java / Scala",85000.0,32.0,full-time,Unlimited contract,English,1000+,Product,No
737,25,Male,Berlin,Mobile Developer,8.0,0.0,Senior,Clojure,"Swift, Javascript / Typescript, Java / Scala, Clojure",85000.0,24.0,full-time,Unlimited contract,English,51-100,Startup,No
738,30,Male,Berlin,Frontend Developer,6.0,1.0,Senior,Javascript,"Python, Javascript / Typescript, SQL, SAP / ABAP",79000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
740,30,Male,Berlin,Backend Developer,8.0,2.0,Middle,Python,"SQL, AWS, Kubernetes, Docker",74000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
741,28,Male,Berlin,Backend Developer,8.0,1.0,Lead,Ruby,"SQL, AWS",67000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
742,32,Female,Berlin,DevOps,9.0,5.0,Middle,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet","Ruby, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",74000.0,40.0,full-time,Unlimited contract,English,101-1000,Product,No
743,29,Male,Berlin,Frontend Developer,3.0,0.0,Middle,JavaScript ,PHP,48000.0,26.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
745,35,Male,Berlin,Software Engineer,13.0,5.0,Lead,TypeScript,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Elixir",103000.0,29.0,full-time,Unlimited contract,English,101-1000,Startup,No
746,33,Male,Berlin,Frontend Developer,10.0,4.0,Senior,JS,"Javascript / Typescript, Google Cloud, Kubernetes, Docker",74000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
747,34,Male,Berlin,Backend Developer,13.0,1.0,Senior,Elixir,SQL,70000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
748,25,Male,Berlin,Backend Developer,6.0,2.0,Senior,Go,"Python, SQL, Go, AWS, Kubernetes, Docker",86000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
750,25,Female,Tampere (Finland),computer vision researcher,3.0,0.0,Junior,Python,"Python, Tensorflow, Theano, Pytorch",23000.0,30.0,full-time,Temporary contract,English,51-100,Science Institute ,No
751,40,Male,Berlin,Backend Developer,14.0,8.0,Lead,Spring,"Java / Scala, AWS, Azure, Kubernetes, Docker",135000.0,30.0,freelancer,Temporary contract,English,101-1000,Product,No
752,33,Male,Heidelberg,Software Engineer,11.0,5.0,Senior,Python,"Python, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",80000.0,30.0,full-time,Temporary contract,English,101-1000,Research institute,No
753,39,Male,Cologne,Teamlead,12.0,12.0,Head,PHP ,"AWS, Docker",75000.0,30.0,full-time,Unlimited contract,German,up to 10,Startup,No
754,24,Male,Berlin,Software Engineer,2.0,2.0,Junior,Javascript,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker",50000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
755,24,Female,Prague,Software Engineer,3.0,0.0,Middle,Java,"Java / Scala, AWS, Azure, Kubernetes, Docker",29000.0,20.0,full-time,Unlimited contract,English,11-50,Startup,No
756,39,Male,Berlin,Engineering Manager,15.0,10.0,Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, Docker",78000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
757,33,Male,Amsterdam,Backend Developer,8.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,C#,"Python, .NET, SQL",75000.0,27.0,full-time,Temporary contract,English,11-50,Product,No
759,29,Male,Berlin,Software Engineer,6.0,0.5,Middle,Swift,Swift,70000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
760,29,Female,Berlin,Software Engineer,5.0,2.0,Middle,PHP,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Docker",55000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
761,32,Male,Prague,Software Engineer,8.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,"C, C++",Python,36000.0,25.0,full-time,Unlimited contract,Czech,1000+,Product,No
763,30,Male,Berlin,Backend Developer,9.0,3.0,Head,Java,"Javascript / Typescript, Java / Scala, Go, AWS, Docker",85000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
764,31,Male,Berlin,ML Engineer,7.0,2.0,Middle,Python,"AWS, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
765,33,Male,Berlin,Mobile Developer,8.0,2.0,Senior,swift,SQL,75000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
766,31,Female,Berlin,Software Engineer,1.0,1.0,Junior,React,"Python, AWS, Kubernetes, Docker, React",57000.0,30.0,full-time,Unlimited contract,English,1000+,Retail,No
767,36,Male,Frankfurt,Software Engineer,16.0,5.0,Middle,.Net,".NET, SQL",65000.0,30.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,No
769,30,Male,Berlin,Mobile Developer,8.0,5.0,Senior,Swift,"Python, Kotlin, Swift, Javascript / Typescript",60000.0,50.0,freelancer,Temporary contract,English,up to 10,Consulting / Agency,No
771,39,Male,Berlin,Software Engineer,19.0,7.0,Senior,Golang,"Python, Ruby, Go, AWS, Google Cloud, Kubernetes, Docker",87000.0,100.0,full-time,Unlimited contract,English,11-50,Startup,No
773,32,Male,Berlin,Software Engineer,11.0,1.0,Senior,C++,"Python, C/C++, Rust",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
774,35,Male,Berlin,Backend Developer,12.0,3.0,Senior,php,"SQL, Google Cloud, Docker",54000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
775,34,Male,Berlin,Data Scientist,6.0,4.5,Senior,python,"Python, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
776,26,Male,Berlin,Data Scientist,4.0,2.0,Middle,Python,"Python, SQL, Google Cloud, Docker",60000.0,27.0,full-time,Unlimited contract,English,1000+,Ecommerce,No
777,29,Male,Helsinki,Mobile Developer,7.0,0.0,Senior,Kotlin,"Javascript / Typescript, Java / Scala, Flutter",64000.0,30.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
778,42,Male,Berlin,Frontend Developer,18.0,5.0,Senior,React JS,Javascript / Typescript,850000.0,35.0,full-time,Unlimited contract,English,101-1000,Product,Yes
779,31,Male,Berlin,Software Engineer,12.0,2.0,Senior,Java,"SQL, Go, AWS, Kubernetes, Docker",60000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
781,33,Male,Berlin,Software Engineer,10.0,5.0,Senior,Python,"PHP, Javascript / Typescript, SQL, Go, Google Cloud, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
782,28,Male,Berlin,Data Engineer,6.0,1.5,Middle,Python,"Java / Scala, SQL, Kubernetes, Docker",83000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
784,35,Male,Düsseldorf,Data Scientist,3.0,3.0,Middle,Python,"SQL, AWS",68000.0,26.0,full-time,Unlimited contract,English,51-100,E-Commerce,No
785,35,Male,Berlin,Consultant,16.0,6.0,Senior,Python,"Python, Java / Scala, SQL, Google Cloud",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
786,31,Male,Berlin,Software Engineer,8.0,3.0,Senior,Typescript ,"Javascript / Typescript, Java / Scala, Go, Rust, AWS, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
787,32,Male,Siegen,Software Engineer,13.0,1.0,Junior,C,C/C++,48000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
788,38,Male,Berlin,Software Engineer,15.0,3.0,Senior,Go,"Google Cloud, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
789,29,Male,Berlin,Engineering Manager,9.0,0.1,Lead,Go,"SQL, AWS, Docker",85000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
790,33,Male,Berlin,Backend Developer,13.0,1.0,Senior,Java,"Kotlin, Java / Scala, SQL, AWS, Google Cloud, Docker",110000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
792,28,Male,Berlin,Fullstack Developer,6.0,6.0,Senior,JavaScript,"Javascript / Typescript, SQL, AWS, Docker",75000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
793,32,Male,Berlin,Senior Data Engineer,9.0,4.0,Senior,Python,"Java / Scala, SQL, AWS",90000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
794,39,Male,Berlin,Frontend Developer,10.0,3.0,Senior,Javascript,"Javascript / Typescript, Ruby, AWS, Docker",85000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
795,31,Male,Minsk,Frontend Developer,6.0,0.0,Senior,TypeScript/Angular,"Python, Javascript / Typescript",110000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
796,33,Male,Berlin,Software Engineer,10.0,5.0,Senior,golang,"Go, Google Cloud, Kubernetes, Docker",110000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
797,30,Male,Berlin,QA Engineer,8.0,3.0,Senior,Python,"Python, C/C++, Docker",68000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
799,30,Female,Düsseldorf ,Analyst,2.0,2.0,Junior,R,"Python, SQL",45000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
800,37,Male,Munich,Software Engineer,15.0,6.0,Senior,C#,"Python, PHP, Javascript / Typescript, .NET, Java / Scala, AWS, Azure",80000.0,30.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,Yes
801,42,Male,Berlin,Software Engineer,20.0,2.0,Senior,PHP,"PHP, Javascript / Typescript, AWS, Docker",65000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
803,31,Male,Nuremberg,QA Engineer,9.0,5.0,Middle,Java,"Javascript / Typescript, Java / Scala",60000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
804,20,Male,Berlin,Mobile Developer,5.0,2.0,Lead,C#,.NET,240000.0,27.0,full-time,Unlimited contract,English,1000+,Product,Yes
805,34,Female,Berlin,QA Engineer,11.0,11.0,Senior,Python,"AWS, Kubernetes, Docker",60000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No
807,35,Male,Berlin,Engineering Manager,20.0,6.0,Lead,Go,"PHP, Java / Scala, Go, AWS, Docker",85000.0,26.0,full-time,Unlimited contract,English,11-50,Product,No
808,31,Male,Munich,Software Engineer,14.0,1.5,Senior,C++,"Javascript / Typescript, Java / Scala",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
809,37,Male,Berlin,Software Engineer,11.0,5.0,Senior,Python,"C/C++, SQL, Docker",73000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
810,37,Male,Berlin,Backend Developer,12.0,2.6,Lead,Kotlin/PHP,"Kotlin, PHP, SQL",90000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
811,34,Male,Berlin,Mobile Developer,9.0,2.0,Senior,iOS,Swift,80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
812,25,Male,Marseille,Data Scientist,1.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Junior,Python,"Python, Javascript / Typescript, SQL, Docker",42000.0,30.0,full-time,Unlimited contract,English,up to 10,Startup,No
813,42,Male,Friedrichshafen,Software Engineer,20.0,1.0,Senior,C++,"Python, C/C++, .NET",70000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
816,33,Female,Berlin,Data Scientist,8.0,4.0,Senior,Python ,"SQL, Google Cloud, Docker",77000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
818,46,Male,Stuttgart,Software Engineer,13.0,6.0,Middle,C++,Python,70000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
820,34,Male,Berlin,Lead Software Developer,13.0,2.0,Lead,C#,".NET, Kubernetes, Docker",65000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
821,35,Male,Berlin,Software Engineer,15.0,4.0,Senior,Java,"Python, SQL, AWS, Docker",85000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No
822,27,Male,Berlin,Backend Developer,4.0,4.0,Senior,Go,"Python, C/C++, Go, AWS, Docker",70000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
823,31,Male,Berlin,Software Engineer,7.0,5.0,Lead,python,"Python, Javascript / Typescript, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,Yes
824,24,Male,Berlin,Software Engineer,2.0,2.0,Junior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",60000.0,28.0,full-time,Unlimited contract,German,up to 10,Consulting / Agency,No
825,28,Male,Berlin,Data Engineer,7.0,3.0,Senior,Python,"Python, SQL, AWS, Google Cloud, Kubernetes, Docker",90000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
827,27,Male,Berlin,Data Scientist,5.0,1.0,Middle,Python,SQL,55000.0,24.0,full-time,Unlimited contract,English,51-100,Product,No
828,30,Male,Hannover,Software Engineer,5.0,3.0,Middle,Python,"Javascript / Typescript, Java / Scala, SQL",45000.0,30.0,full-time,Unlimited contract,English,up to 10,Startup,No
829,33,Male,Berlin,data engineer,11.0,1.0,Middle,python,"Python, SQL, AWS, Google Cloud",68000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
830,26,Male,Berlin,Software Engineer,2.0,1.5,Middle,TypeScript,"Python, Kotlin, Javascript / Typescript, SQL, AWS, Docker",58000.0,28.0,full-time,Unlimited contract,English,1000+,Consulting / Agency,No
831,37,Male,Walldorf,ML Engineer,15.0,15.0,Lead,Python,"AWS, Google Cloud, Kubernetes, Docker",80000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
833,39,Male,Munich,Software Engineer,8.0,7.0,Senior,Python,C/C++,130000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
834,26,Female,Berlin,Tech recruiting,2.5,2.5,Middle,JS,Python,40000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No
835,30,Male,Hamburg,Data Scientist,5.0,4.0,Head,Python,"R, SQL, AWS",80000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
836,44,Male,Frankfurt,Software Engineer,10.0,10.0,Senior,SAP ABAP,SAP / ABAP,75000.0,30.0,full-time,Unlimited contract,Russian,101-1000,Product,No
837,26,Male,Munich,ML Engineer,5.0,4.0,Senior,Spark,"Python, Java / Scala, R, SQL",180000.0,40.0,freelancer,Temporary contract,German,up to 10,Consulting / Agency,No
838,30,Male,Munich,Software Engineer,10.0,6.0,Senior,Go,"Python, C/C++, Javascript / Typescript, Go",151872.0,30.0,full-time,Unlimited contract,English,1000+,Startup,No
839,26,Male,Eindhoven,ML Engineer,3.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Middle,Python,"Python, C/C++, Docker, Tensorflow, PyTorch",48000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
840,25,Female,Munich,ML Engineer,1.0,1.0,Junior,AI,"Python, SQL",57000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
841,34,Male,France,Data Scientist,11.0,0.0,Senior,Python,"Javascript / Typescript, R, SQL, Google Cloud",80000.0,25.0,full-time,Unlimited contract,French,1000+,Consulting / Agency,No
842,38,Female,Regensburg,ML Engineer,3.0,3.0,Middle,Python,"R, SQL",65000.0,30.0,full-time,Temporary contract,German,1000+,Product,Yes
844,28,Male,Frankfurt,Mobile Developer,5.0,1.0,Senior,Swift,Swift,50000.0,24.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
845,29,Female,Berlin,Data Scientist,2.0,2.0,Junior,R,Python,52000.0,30.0,full-time,Unlimited contract,German,up to 10,Consulting / Agency,No
846,30,Female,Berlin,ML Engineer,5.0,1.5,Middle,pythin,"Python, SQL, Docker",51000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
847,28,Male,"Warsaw, Poland",Software Engineer,6.0,0.0,Middle,C#,"Javascript / Typescript, .NET, SQL",52800.0,26.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
848,28,Female,Berlin,Data Scientist,1.0,8.0,Junior,Python,"Python, R, SQL, Azure",55000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
849,42,Male,Berlin,Software Engineer,12.0,12.0,Lead,Java,"Kotlin, SQL, Kubernetes, Docker",95000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
851,29,Male,Munich,Data Scientist,4.0,4.0,Middle,Python,"Java / Scala, SQL, AWS, Azure",61500.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
852,29,Male,Munich,Software Engineer,4.0,4.0,Middle,R,"Python, SQL",78000.0,30.0,full-time,Unlimited contract,English,1000+,Semiconductor,No
855,36,Male,Berlin,CTO,15.0,13.0,C-Level,Java & PHP,"Python, PHP, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",150000.0,30.0,full-time,Unlimited contract,German,101-1000,Media,No
856,37,Male,Munich,Software Engineer,14.0,6.0,Head,Typescript,"Python, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Docker",84000.0,30.0,full-time,Unlimited contract,English,up to 10,Product,No
857,31,Male,Amsterdam,Data Scientist,10.0,0.0,Lead,Python,"Javascript / Typescript, R, SQL, AWS, Azure, Docker",100000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
858,35,Male,Berlin,Data Analyst,5.0,5.0,Middle,R,"R, SQL, Google Cloud",49000.0,26.0,full-time,Unlimited contract,English,101-1000,Product,No
859,27,Male,Berlin,Data Scientist,4.0,2.0,Junior,Python,"C/C++, Javascript / Typescript",60000.0,15.0,full-time,Temporary contract,English,51-100,Consulting / Agency,No
860,29,Male,Munich,Data Analyst ,6.0,4.0,Middle,Python,"Javascript / Typescript, SQL, AWS, Kubernetes, Docker",68000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
861,36,Male,Berlin,Backend Developer,5.0,2.0,Senior,Java,"Java / Scala, Kubernetes, Docker",70000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
862,33,Male,Munich,Backend Developer,10.0,10.0,Senior,Java,"Python, Kotlin, Go, Kubernetes",70000.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
863,42,Male,Berlin,Software Engineer,12.0,12.0,Lead,Java,"Kotlin, SQL, Kubernetes, Docker",95000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
864,32,Female,Berlin,BI Analyst ,1.0,1.0,Junior,Sql ,Python,48000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
865,30,Male,Berlin,Software Engineer,10.0,7.0,Lead,Frontend,"C/C++, Javascript / Typescript, Go, AWS, Docker",115000.0,28.0,full-time,Unlimited contract,English,1000+,Consulting / Agency,No
866,29,Female,Berlin,Software Engineer,4.0,4.0,Middle,Java/Kotlin,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker",60000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
868,35,Female,Berlin,Frontend Developer,2.0,2.0,Junior,React,Javascript / Typescript,40000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
869,36,Male,Frankfurt,Software Engineer,14.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,C++/c,"Python, Docker",81500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
870,34,Male,Berlin,BI Developer / Data Engineer,10.0,5.0,Senior,SQL,Python,75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
871,34,Male,Berlin,DevOps,12.0,2.0,Lead,Kubernetes,"Python, Go, AWS, Kubernetes, Docker",94000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
872,31,Male,Munich,ML Engineer,4.0,4.0,Senior,Python,Python,100000.0,20.0,full-time,Unlimited contract,English,1000+,Product,No
873,34,Female,Berlin,QA Engineer,7.0,0.0,Senior,Java,"Java / Scala, SQL, Docker",55000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No
874,31,Male,Munich,Data Scientist,7.41764705882353,2.0,Middle,Python,"Python, C/C++, Azure, Docker",60000.0,27.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
875,33,Male,Munich,Frontend Developer,14.0,8.0,Senior,"Angular, Typescript","PHP, Javascript / Typescript",80000.0,28.0,full-time,Unlimited contract,German,11-50,Product,No
876,33,Male,Frankfurt,Software Engineer,8.0,5.0,Senior,C#,"Javascript / Typescript, .NET, SQL",67000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
877,33,Male,Munich,Backend Developer,12.0,0.5,Middle,PHP,"PHP, Javascript / Typescript, SQL, Docker",56000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
880,31,Male,Berlin,Backend Developer,5.0,2.0,Senior,Python,"Python, SQL, AWS, Kubernetes, Docker",77000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
882,42,Male,Berlin,Software Engineer,12.0,12.0,Lead,Java,"Kotlin, SQL, Kubernetes, Docker",95000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
885,33,Male,Heilbronn,Senior Scrum Master (RTE),7.0,7.0,Lead,C++,C/C++,90000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
887,31,Male,Berlin,Backend Developer,9.0,9.0,Senior,"Grails, Groovy","Java / Scala, SQL, AWS",67473.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
888,42,Male,Berlin,Software Engineer,12.0,12.0,Lead,Java,"Kotlin, SQL, Kubernetes, Docker",95000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
889,30,Male,Berlin,Head of BI,7.0,7.0,Head,Python,"Python, SQL, AWS, Kubernetes, Docker",100000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
890,32,Female,Berlin,QA Engineer,10.0,4.0,Lead,Java,"Python, Kotlin, .NET, SQL, Go, Docker",65000.0,33.0,full-time,Unlimited contract,German,1000+,Product,No
891,34,Male,Berlin,Software Engineer,16.0,5.0,Lead,Ruby,"Kotlin, Javascript / Typescript, Java / Scala",91000.0,26.0,full-time,Unlimited contract,English,101-1000,Startup,No
