,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
419,28,Female,Berlin,Software Engineer,3.0,3.0,Middle,Javascript,"PHP, Javascript / Typescript",60000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
420,31,Female,Munich,Software Engineer,2.0,2.0,Middle,Java,SQL,58000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No
421,34,Male,Berlin,Mobile Developer,9.0,2.0,Senior,Android,"Kotlin, Java / Scala",72000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
422,24,Male,Berlin,Backend Developer,4.0,3.0,Middle,PHP,"SQL, Kubernetes, Docker",46000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
423,39,Male,Berlin,DevOps,15.0,3.0,Senior,Python,"Python, Ruby, Java / Scala, Go, Rust, AWS, Kubernetes, Docker, Terraform, helm, packer",70000.0,21.0,full-time,Unlimited contract,English,101-1000,Product,No
424,42,Male,Den Haag,Backend Developer,20.0,6.0,Senior,.NET,"Python, Javascript / Typescript, SQL, AWS, Docker",75000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No
425,26,Male,London,Frontend Developer,8.0,0.0,Senior,"TypeScript, React","Javascript / Typescript, Google Cloud, Kubernetes, Docker",105000.0,30.0,full-time,Unlimited contract,English,1000+,Startup,No
427,32,Female,Berlin,Mobile Developer,7.0,3.0,Senior,Kotlin,"Python, Ruby",63000.0,26.0,full-time,Unlimited contract,English,1000+,Product,No
429,23,Male,Berlin,Mobile Developer,3.0,0.0,Lead,Swift,Swift,65000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
431,27,Male,Amsterdam,ML Engineer,4.0,1.0,Middle,python,"Python, R, SQL, SAP / ABAP, AWS, Kubernetes, Docker",62000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
432,27,Male,Berlin,Tech Lead / Full-Stack,5.0,3.5,Lead,Python / JavaScript (React),"Python, Javascript / Typescript, SQL, AWS, Docker, React, Tailwindcss",90000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
434,32,Male,Munich,Software Engineer,10.0,6.0,Senior,Java,"Javascript / Typescript, Go",88000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
435,31,Male,Berlin,DevOps,11.0,4.0,Senior,Terraform,"PHP, SQL, AWS, Docker",81000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
436,29,Male,Cracovia,Frontend Developer,2.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Middle,JavaScript,"Javascript / Typescript, Angular",18700.0,22.0,full-time,Unlimited contract,Polish,1000+,Product,No
437,26,Male,Berlin,Marketing Analyst,7.0,2.0,Middle,SQL,"Python, Javascript / Typescript, Google Cloud",60000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
438,29,Male,Berlin,Software Engineer,5.0,1.5,Middle,PHP,"Javascript / Typescript, SQL, Docker",56000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
439,30,Male,Hamburg,Frontend Developer,7.0,1.0,Senior,JavaScript,Javascript / Typescript,55000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
440,38,Male,Berlin,Mobile Developer,10.0,4.0,Senior,Swift,"Swift, Objective-C",70000.0,24.0,full-time,Unlimited contract,English,1000+,Product,Yes
441,32,Male,Berlin,CTO,10.0,4.0,CTO,JAVA,"Python, C/C++",200000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,Yes
442,25,Male,Berlin,Solutions Architect,6.0,2.0,Middle,Apache Spark,"Python, Java / Scala",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
443,24,Male,Berlin,Backend Developer,3.0,0.0,Junior,C#,"Javascript / Typescript, .NET, Kubernetes, Docker",48000.0,28.0,full-time,Temporary contract,English,1000+,Game Company,No
444,24,Male,Tallinn,Software Engineer,3.0,0.0,Junior,Java,"Python, SQL",30000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
